 	BX	BY	Width	Height
1	88	44	11	17
2	75	33	9	17
3	82	1	11	8
4	97	2	15	11
5	111	46	7	8
6	130	45	11	9
7	47	92	10	9
8	52	105	13	12
9	38	104	12	7
10	1	109	8	12
11	82	160	18	13
12	57	168	12	10
13	73	177	11	14
14	90	178	14	8
15	75	201	20	12
16	100	213	12	13
17	91	199	9	8
18	20	288	14	14
19	15	301	14	10
20	32	299	15	10
21	34	314	10	11
22	87	337	12	12
23	92	259	11	12
24	107	242	17	11
25	112	258	27	11
26	135	274	26	11
27	192	9	36	40
28	255	44	8	5
29	269	52	8	8
30	277	69	8	6
31	282	90	16	9
32	249	139	14	6
33	285	142	6	12
34	243	212	13	10
35	260	217	13	13
36	252	229	12	9
37	265	231	13	11
38	242	369	13	10
39	259	371	17	10
40	251	381	16	13
41	269	382	26	14
42	282	408	15	13
43	279	475	18	9
44	287	515	13	20
45	413	429	20	18
46	371	335	49	52
47	336	302	22	9
48	340	291	17	10
49	422	257	16	12
50	429	233	10	8
51	389	180	10	8
52	374	163	15	14
53	436	135	15	19
54	384	94	27	18
55	445	18	21	17
