 	BX	BY	Width	Height
1	697	115	111	126
2	997	15	27	137
3	950	322	74	94
4	782	276	81	75
5	787	409	97	153
6	962	710	62	82
7	819	788	151	76
8	696	746	86	80
9	714	905	84	76
10	857	936	72	68
11	446	956	69	67
12	207	985	105	39
13	0	955	98	69
14	7	775	93	85
15	45	665	61	64
16	310	798	45	58
17	467	753	82	87
18	443	589	108	99
19	634	603	81	73
20	592	466	85	80
21	549	310	81	71
22	634	286	50	47
23	521	409	60	49
24	382	333	97	88
25	310	394	98	75
26	9	473	102	89
27	104	576	87	78
28	64	263	63	66
29	321	167	117	97
30	316	76	78	69
31	401	0	141	43
32	538	77	44	45
33	145	0	55	24
34	0	0	45	74
35	0	182	51	47
36	242	600	86	65
37	295	870	73	39
38	158	175	55	48
39	84	424	41	34
40	332	777	55	37
