 	BX	BY	Width	Height
1	672	840	426	432
2	1425	783	234	183
3	1218	1281	147	207
4	1254	1677	177	177
5	237	1155	159	180
6	0	165	123	336
7	231	237	177	147
8	459	249	78	66
9	339	0	120	114
10	87	0	63	57
11	656	482	186	193
12	867	265	122	136
13	769	65	71	103
14	677	0	71	43
15	620	127	74	65
16	707	217	60	62
17	970	130	114	98
18	1035	0	51	41
19	1119	95	73	76
20	1265	173	95	147
21	1346	73	76	79
22	1059	249	98	152
23	176	398	87	76
24	734	317	81	76
25	726	414	68	49
26	894	436	62	68
27	1067	452	63	65
28	973	523	75	65
29	1279	463	130	168
30	1195	637	84	75
31	1387	658	81	73
32	1457	339	128	86
33	1764	0	92	57
34	1921	35	70	84
35	1774	98	92	116
36	1625	219	79	63
37	1587	439	117	200
38	1761	401	73	84
39	1736	528	76	92
40	1780	647	108	52
41	1866	387	66	60
42	1902	412	146	70
43	1877	482	84	81
44	1907	247	87	83
45	1715	320	73	67
46	1617	122	76	78
47	1452	46	62	79
48	1485	214	65	87
49	1866	818	82	100
50	1964	894	84	111
51	1937	1002	78	101
52	1959	1146	89	162
53	1606	1233	98	73
54	1346	1124	114	92
55	534	585	100	122
56	206	580	168	84
57	379	761	76	65
58	114	680	111	76
59	198	775	62	46
60	282	842	76	66
61	0	642	35	81
62	8	748	60	67
63	92	794	41	70
64	144	964	84	90
65	8	989	103	206
66	0	1227	35	100
67	68	1243	81	52
68	79	1319	75	73
69	135	1409	74	57
70	282	1449	122	95
71	458	1414	62	71
72	588	1452	49	70
73	688	1482	52	57
74	775	1533	51	54
75	1027	1620	51	51
76	1482	1587	70	87
77	1639	1623	84	86
78	973	626	70	59
79	1178	707	49	73
80	1178	875	60	79
81	550	737	92	73
82	726	691	38	54
83	1585	1181	54	60
84	1726	1206	54	54
85	1829	1100	84	100
86	1896	1514	38	57
87	1929	1620	68	51
88	1969	1764	60	56
89	1991	1872	49	68
90	1899	1929	51	51
91	1761	1634	87	132
92	1753	1793	132	160
93	1560	1777	84	84
94	1715	1978	70	70
95	1498	1707	62	62
96	1287	1907	108	73
97	1357	1997	163	51
98	1019	1772	78	105
99	610	1560	65	49
100	672	1634	59	65
101	731	1720	65	49
102	534	1682	57	71
103	610	1704	43	68
104	610	1801	65	74
105	615	1910	70	73
106	878	2002	89	46
107	723	1815	52	57
108	263	1739	184	100
109	298	1845	81	81
110	339	1950	54	74
111	412	2007	92	41
112	70	1831	74	84
113	0	1913	38	89
114	176	1975	60	57
115	241	1644	89	60
116	190	1671	48	55
117	119	1579	92	71
118	154	1850	60	65
119	0	1479	87	111
120	398	1558	60	57
